true_label,pred_label,count
wild_boar,raccoon,44
mule_deer,red_deer,31
empty,raccoon,31
red_deer,mule_deer,25
bobcat,raccoon,22
coyote,raccoon,16
raccoon,empty,14
black_bear,empty,13
coyote,bobcat,11
bobcat,empty,11
red_deer,coyote,9
coyote,mule_deer,8
wild_boar,empty,8
mule_deer,coyote,8
bobcat,coyote,7
black_bear,wild_boar,7
black_bear,mule_deer,6
wild_boar,black_bear,5
wild_boar,bobcat,5
empty,wild_boar,5
coyote,empty,4
black_bear,coyote,4
mule_deer,black_bear,4
red_deer,black_bear,4
black_bear,raccoon,4
raccoon,bobcat,3
coyote,red_deer,3
wild_boar,coyote,2
raccoon,wild_boar,2
empty,coyote,2
mule_deer,bobcat,2
empty,bobcat,2
coyote,wild_boar,2
bobcat,wild_boar,2
black_bear,red_deer,2
raccoon,coyote,1
raccoon,black_bear,1
mule_deer,raccoon,1
empty,black_bear,1
coyote,black_bear,1
black_bear,bobcat,1
